targetX, targetY,  targetX-512, targetY-384, responseX, responseY, responseX-512, responseY-384, targetOrientationDeg, targetRadiusPixels
811,925,171,413,452,90,-188,-422,67,448
817,438,177,-73,485,611,-155,99,337,192
713,689,73,177,561,313,-79,-199,67,192
580,487,-59,-24,700,545,60,33,202,64
1053,683,413,171,262,275,-378,-237,22,448
762,216,122,-295,510,744,-130,232,292,320
344,634,-295,122,970,343,330,-169,157,320
935,389,295,-122,441,611,-199,99,337,320
817,585,177,73,469,415,-171,-97,22,192
566,334,-73,-177,714,696,74,184,247,192
462,438,-177,-73,834,599,194,87,202,192
713,334,73,-177,545,690,-95,178,292,192
699,487,59,-24,579,554,-61,42,337,64
615,452,-24,-59,677,589,37,77,247,64
1053,340,413,-171,359,669,-281,157,337,448
517,807,-122,295,800,185,160,-327,112,320
344,389,-295,-122,953,639,313,127,202,320
517,216,-122,-295,772,748,132,236,247,320
226,683,-413,171,1069,271,429,-241,157,448
462,585,-177,73,797,429,157,-83,157,192
615,571,-24,59,669,439,29,-73,112,64
762,807,122,295,536,167,-104,-345,67,320
566,689,-73,177,726,328,86,-184,112,192
699,536,59,24,575,479,-65,-33,22,64
664,571,24,59,609,455,-31,-57,67,64
468,925,-171,413,947,65,307,-447,112,448
664,452,24,-59,600,583,-40,71,292,64
580,536,-59,24,708,474,68,-38,157,64
811,98,171,-413,487,843,-153,331,292,448
468,98,-171,-413,855,869,215,357,247,448
226,340,-413,-171,1112,779,472,267,202,448
935,634,295,122,348,375,-292,-137,22,320
713,334,73,-177,539,715,-101,203,292,192
226,683,-413,171,1016,331,376,-181,157,448
517,216,-122,-295,829,842,189,330,247,320
615,452,-24,-59,684,598,44,86,247,64
762,216,122,-295,521,873,-119,361,292,320
762,807,122,295,545,197,-95,-315,67,320
468,925,-171,413,843,126,203,-386,112,448
1053,683,413,171,297,349,-343,-163,22,448
699,487,59,-24,571,537,-69,25,337,64
1053,340,413,-171,246,695,-394,183,337,448
811,925,171,413,470,69,-170,-443,67,448
935,389,295,-122,402,627,-238,115,337,320
344,389,-295,-122,953,641,313,129,202,320
226,340,-413,-171,1048,684,408,172,202,448
566,334,-73,-177,737,722,97,210,247,192
664,452,24,-59,599,594,-41,82,292,64
468,98,-171,-413,840,808,200,296,247,448
664,571,24,59,611,440,-29,-72,67,64
817,438,177,-73,476,595,-164,83,337,192
566,689,-73,177,734,313,94,-199,112,192
580,487,-59,-24,717,540,77,28,202,64
699,536,59,24,580,485,-60,-27,22,64
580,536,-59,24,705,478,65,-34,157,64
462,438,-177,-73,830,574,190,62,202,192
615,571,-24,59,672,449,32,-63,112,64
811,98,171,-413,442,904,-198,392,292,448
462,585,-177,73,827,437,187,-75,157,192
935,634,295,122,368,367,-272,-145,22,320
817,585,177,73,472,428,-168,-84,22,192
517,807,-122,295,762,225,122,-287,112,320
344,634,-295,122,940,391,300,-121,157,320
713,689,73,177,558,305,-82,-207,67,192
762,807,122,295,530,237,-110,-275,67,320
226,340,-413,-171,1035,711,395,199,202,448
468,925,-171,413,853,104,213,-408,112,448
615,571,-24,59,669,444,29,-68,112,64
566,689,-73,177,723,360,83,-152,112,192
566,334,-73,-177,749,700,109,188,247,192
699,536,59,24,563,470,-77,-42,22,64
935,389,295,-122,428,611,-212,99,337,320
1053,683,413,171,316,304,-324,-208,22,448
462,438,-177,-73,831,594,191,82,202,192
817,585,177,73,477,413,-163,-99,22,192
517,216,-122,-295,740,751,100,239,247,320
811,98,171,-413,458,861,-182,349,292,448
517,807,-122,295,773,184,133,-328,112,320
762,216,122,-295,542,797,-98,285,292,320
817,438,177,-73,469,599,-171,87,337,192
713,689,73,177,557,310,-83,-202,67,192
580,536,-59,24,701,486,61,-26,157,64
580,487,-59,-24,700,539,60,27,202,64
615,452,-24,-59,669,579,29,67,247,64
811,925,171,413,500,142,-140,-370,67,448
462,585,-177,73,880,420,240,-92,157,192
344,389,-295,-122,940,619,300,107,202,320
1053,340,413,-171,292,667,-348,155,337,448
664,452,24,-59,583,600,-57,88,292,64
468,98,-171,-413,800,864,160,352,247,448
344,634,-295,122,950,370,310,-142,157,320
713,334,73,-177,542,720,-98,208,292,192
664,571,24,59,608,439,-32,-73,67,64
935,634,295,122,360,346,-280,-166,22,320
226,683,-413,171,1085,314,445,-198,157,448
699,487,59,-24,566,563,-74,51,337,64
517,216,-122,-295,787,832,147,320,247,320
817,438,177,-73,498,576,-142,64,337,192
1053,340,413,-171,305,656,-335,144,337,448
462,438,-177,-73,872,607,232,95,202,192
935,389,295,-122,347,624,-293,112,337,320
935,634,295,122,420,383,-220,-129,22,320
699,487,59,-24,556,534,-84,22,337,64
713,334,73,-177,542,692,-98,180,292,192
1053,683,413,171,328,373,-312,-139,22,448
468,98,-171,-413,818,823,178,311,247,448
468,925,-171,413,846,67,206,-445,112,448
344,634,-295,122,1007,332,367,-180,157,320
615,452,-24,-59,673,583,33,71,247,64
226,340,-413,-171,981,639,341,127,202,448
811,925,171,413,490,138,-150,-374,67,448
566,689,-73,177,708,359,68,-153,112,192
664,571,24,59,614,445,-26,-67,67,64
580,487,-59,-24,708,543,68,31,202,64
762,807,122,295,544,229,-96,-283,67,320
762,216,122,-295,544,743,-96,231,292,320
566,334,-73,-177,725,714,85,202,247,192
517,807,-122,295,741,235,101,-277,112,320
615,571,-24,59,672,439,32,-73,112,64
817,585,177,73,468,460,-172,-52,22,192
580,536,-59,24,708,480,68,-32,157,64
811,98,171,-413,423,866,-217,354,292,448
713,689,73,177,566,339,-74,-173,67,192
