sub,kind,target_x0,target_y0,response_x0,response_y0,target_orientation_deg,target_radius_pixels,which_eye,sub_num,match_x0,match_y0,response_r,response_theta,match_r,match_theta,target_radius_deg,target_ori_id,target_rad_id,target_id,error_x,error_y,error_r,error_theta,error_r_mu,error_r_sd
bm,A,2.77182,-1.14318,-2.4742800000000003,1.0962,337,192,bad,1,-2.77182,1.14318,2.7062364934351177,156.10483858492964,2.998307293257314,157.58731053136572,3,8,2,16,0.2975399999999997,-0.04698000000000002,-0.2920707998221963,-1.4824719464360783,-0.06288785566802627,0.3795337177604461
bm,A,-0.37584,-0.92394,0.3915,0.92394,247,64,bad,1,0.37584,0.92394,1.0034626916831537,67.03622694014545,0.9974571816373874,67.86450812189965,1,6,1,6,0.015660000000000007,0,0.006005510045766327,-0.8282811817541926,0.12147547390147839,0.13240217159571324
bm,A,2.67786,6.46758,-2.12976,-5.27742,67,448,bad,1,-2.67786,-6.46758,5.690961211781363,-111.97707305300551,7.000037516756607,-112.49168668421689,7,2,4,26,0.5480999999999998,1.1901599999999997,-1.3090763049752443,0.5146136312113754,-0.9145469516808078,0.5125914049842164
bm,A,-4.6197,1.91052,4.65102,-2.25504,157,320,bad,1,4.6197,-1.91052,5.168867616993107,-25.866356794094518,4.999171407383428,-22.46799697245953,5,4,3,20,0.031320000000000014,-0.34452000000000016,0.16969620960967902,-3.398359821634987,-0.48969160963270253,0.42020299642810705
bm,A,-1.91052,-4.6197,1.92618,4.72932,247,320,bad,1,1.91052,4.6197,5.106528865560246,67.83968087185904,4.999171407383428,67.53200302754048,5,6,3,22,0.015660000000000007,0.1096200000000005,0.10735745817681774,0.3076778443185617,0.10641646389958792,0.3342252219121246
bm,A,-6.46758,2.67786,6.46758,-3.31992,157,448,bad,1,6.46758,-2.67786,7.269900952750319,-27.17220915699019,7.000037516756607,-22.49168668421689,7,4,4,28,0,-0.6420600000000003,0.2698634359937122,-4.680522472773298,-0.08382393961119733,0.482320971260756
bm,A,4.6197,1.91052,-4.13424,-1.8009,22,320,bad,1,-4.6197,-1.91052,4.509454644144899,-156.46176680095266,4.999171407383428,-157.53200302754047,5,1,3,17,0.4854599999999998,0.10962000000000005,-0.48971676323852886,1.0702362265878094,-0.7394846738760793,0.3767901975024248
bm,A,6.46758,2.67786,-5.4027,-1.86354,22,448,bad,1,-6.46758,-2.67786,5.715063308625724,-160.96927598303333,7.000037516756607,-157.5083133157831,7,1,4,25,1.0648799999999996,0.8143199999999999,-1.2849742081308833,-3.4609626672502145,-1.398510011540057,0.3721019812894945
bm,A,-1.14318,2.77182,1.12752,-2.53692,112,192,bad,1,1.14318,-2.77182,2.776196037170286,-66.03751102542181,2.998307293257314,-67.58731053136572,3,3,2,11,-0.015660000000000007,0.2349000000000001,-0.22211125608702798,1.5497995059439091,-0.3761256180080469,0.2974293701571797
bm,A,-0.92394,0.37584,1.2214800000000001,-0.3915,157,64,bad,1,0.92394,-0.37584,1.2826868832259883,-17.771320822908756,0.9974571816373874,-22.135491878100353,1,4,1,4,0.29754000000000014,-0.015660000000000007,0.28522970158860095,4.364171055191598,0.19695255744128956,0.2571543986246538
bm,A,-2.67786,-6.46758,3.0537,6.35796,247,448,bad,1,2.67786,6.46758,7.053278603004421,64.3452321792789,7.000037516756607,67.50831331578311,7,6,4,30,0.3758400000000002,-0.1096199999999996,0.053241086247814096,-3.1630811365042177,-0.41105101752560314,0.27766258146865136
bm,A,6.46758,-2.67786,-4.8859200000000005,3.61746,337,448,bad,1,-6.46758,2.67786,6.079328178178902,143.48432213497043,7.000037516756607,157.5083133157831,7,8,4,32,1.5816599999999994,0.9396,-0.920709338577705,-14.023991180812686,-1.1381546147905708,0.45896006473962697
bm,A,1.14318,-2.77182,-0.89262,2.92842,292,192,bad,1,-1.14318,2.77182,3.0614398835841934,106.95189424544694,2.998307293257314,112.41268946863428,3,7,2,15,0.2505600000000001,0.15660000000000007,0.06313259032687935,-5.460795223187347,0.2671046998762476,0.3678475378775017
bm,A,0.37584,-0.92394,-0.42282000000000003,1.2058200000000001,292,64,bad,1,-0.37584,0.92394,1.27780226357602,109.3231843181618,0.9974571816373874,112.13549187810035,1,7,1,7,-0.04698000000000002,0.28188000000000013,0.2803450819386326,-2.81230755993856,0.1599681114511681,0.1439244841693038
bm,A,0.92394,0.37584,-1.06488,-0.3915,22,64,bad,1,-0.92394,-0.37584,1.1345667298136326,-159.81419699053518,0.9974571816373874,-157.86450812189966,1,1,1,1,-0.14094000000000007,-0.015660000000000007,0.1371095481762452,-1.9496888686355192,0.23497470328541584,0.3541260348388331
bm,A,-0.92394,-0.37584,1.11186,0.36018,202,64,bad,1,0.92394,0.37584,1.168743894957317,17.949402992913875,0.9974571816373874,22.135491878100353,1,5,1,5,0.1879200000000001,-0.015660000000000007,0.17128671331992962,-4.186088885186479,0.2302668356095071,0.23389243238523472
bm,A,-2.77182,1.14318,2.64654,-1.31544,157,192,bad,1,2.77182,-1.14318,2.9554282879474507,-26.429279441844372,2.998307293257314,-22.412689468634277,3,4,2,12,-0.12528000000000006,-0.17225999999999986,-0.04287900530986333,-4.016589973210095,-0.08418234870025325,0.3222530887772612
bm,A,4.6197,-1.91052,-3.77406,2.12976,337,320,bad,1,-4.6197,1.91052,4.333521263499234,150.5632956298963,4.999171407383428,157.53200302754047,5,8,3,24,0.84564,0.2192400000000001,-0.6656501438841937,-6.968707397644181,-0.3848047012759256,0.34820902338111615
bm,A,0.92394,-0.37584,-1.0179,0.59508,337,64,bad,1,-0.92394,0.37584,1.1790846519228382,149.68878677331838,0.9974571816373874,157.86450812189966,1,8,1,8,-0.09396000000000004,0.21924000000000005,0.1816274702854508,-8.175721348581277,0.19838589093174494,0.11457571612688049
bm,A,1.14318,2.77182,-0.97092,-2.88144,67,192,bad,1,-1.14318,-2.77182,3.0406219955791935,-108.62157936648758,2.998307293257314,-112.41268946863428,3,2,2,10,0.17226000000000008,-0.10962000000000005,0.042314702321879505,3.7911101021467033,-0.19752024344829694,0.22742272829882132
bm,A,-1.91052,4.6197,2.08278,-4.10292,112,320,bad,1,1.91052,-4.6197,4.601296019036376,-63.08612038092305,4.999171407383428,-67.53200302754048,5,3,3,19,0.17226000000000008,0.5167799999999998,-0.3978753883470523,4.445882646617434,-0.5701766071866488,0.3917137696386226
bm,A,-4.6197,-1.91052,4.33782,1.89486,202,320,bad,1,4.6197,1.91052,4.733621950684275,23.596817147206274,4.999171407383428,22.46799697245953,5,5,3,21,-0.28188000000000013,-0.015660000000000007,-0.2655494566991532,1.1288201747467426,-0.061919171315951,0.3406007560691972
bm,A,-6.46758,2.67786,6.06042,-1.97316,157,448,bad,1,6.46758,-2.67786,6.373543046218484,-18.03428556712986,7.000037516756607,-22.49168668421689,7,4,4,28,-0.4071600000000002,0.7046999999999999,-0.6264944705381232,4.457401117087031,-0.08382393961119733,0.482320971260756
bm,A,-2.77182,-1.14318,2.75616,1.15884,202,192,bad,1,2.77182,1.14318,2.989870915474446,22.80454047132105,2.998307293257314,22.412689468634277,3,5,2,13,-0.015660000000000007,0.015660000000000007,-0.00843637778286821,0.3918510026867743,0.26894555666949177,0.36298135860508635
bm,A,4.6197,-1.91052,-3.77406,2.70918,337,320,bad,1,-4.6197,1.91052,4.645770674064745,144.32761451066762,4.999171407383428,157.53200302754047,5,8,3,24,0.84564,0.7986599999999999,-0.3534007333186828,-13.204388516872854,-0.3848047012759256,0.34820902338111615
bm,A,2.67786,-6.46758,-2.4742800000000003,5.9351400000000005,292,448,bad,1,-2.67786,6.46758,6.430237035910886,112.63059851470263,7.000037516756607,112.49168668421689,7,7,4,31,0.20357999999999965,-0.5324399999999994,-0.5698004808457213,0.13891183048573907,-0.5829373323869302,0.44518190510926225
bm,A,2.77182,1.14318,-2.72484,-0.90828,22,192,bad,1,-2.77182,-1.14318,2.8722335531777357,-161.565051177078,2.998307293257314,-157.58731053136572,3,1,2,9,0.04698000000000002,0.2349000000000001,-0.1260737400795784,-3.977740645712288,-0.28410786056194326,0.26257895629927036
bm,A,-4.6197,1.91052,3.9933,-2.1141,157,320,bad,1,4.6197,-1.91052,4.518391716086599,-27.89727103094763,4.999171407383428,-22.46799697245953,5,4,3,20,-0.6263999999999998,-0.2035800000000001,-0.48077969129682874,-5.429274058488097,-0.48969160963270253,0.42020299642810705
bm,A,2.67786,6.46758,-1.8009,-4.9798800000000005,67,448,bad,1,-2.67786,-6.46758,5.295511837811337,-109.88177503164455,7.000037516756607,-112.49168668421689,7,2,4,26,0.87696,1.4876999999999994,-1.70452567894527,2.609911652572336,-0.9145469516808078,0.5125914049842164
bm,A,-2.67786,-6.46758,2.77182,6.31098,247,448,bad,1,2.67786,6.46758,6.892855335258386,66.28863278782255,7.000037516756607,67.50831331578311,7,6,4,30,0.09396000000000004,-0.15660000000000007,-0.10718218149822079,-1.2196805279605627,-0.41105101752560314,0.27766258146865136
bm,A,1.14318,2.77182,-0.76734,-2.4273000000000002,67,192,bad,1,-1.14318,-2.77182,2.5457014682794212,-107.54325771540012,2.998307293257314,-112.41268946863428,3,2,2,10,0.37584000000000006,0.3445199999999997,-0.4526058249778928,4.869431753234167,-0.19752024344829694,0.22742272829882132
bm,A,-1.91052,-4.6197,2.09844,5.10516,247,320,bad,1,1.91052,4.6197,5.519611314141604,67.65523270867979,4.999171407383428,67.53200302754048,5,6,3,22,0.1879200000000001,0.4854599999999998,0.5204399067581758,0.12322968113930699,0.10641646389958792,0.3342252219121246
bm,A,-2.67786,6.46758,2.33334,-5.38704,112,448,bad,1,2.67786,-6.46758,5.870662272452742,-66.58065626182726,7.000037516756607,-67.50831331578311,7,3,4,27,-0.3445199999999997,1.08054,-1.1293752443038647,0.9276570539558548,-1.0984179199077584,0.3277670981346472
bm,A,-1.14318,2.77182,1.2214800000000001,-2.75616,112,192,bad,1,1.14318,-2.77182,3.014702528608751,-66.09794958898915,2.998307293257314,-67.58731053136572,3,3,2,11,0.07830000000000004,0.015660000000000007,0.016395235351437165,1.489360942376564,-0.3761256180080469,0.2974293701571797
bm,A,-0.37584,0.92394,0.53244,-1.04922,112,64,bad,1,0.37584,-0.92394,1.1765861472922414,-63.09390654406316,0.9974571816373874,-67.86450812189965,1,3,1,3,0.15660000000000002,-0.12528000000000006,0.17912896565485403,4.770601577836487,0.08544539509452428,0.13535547941607098
