subName,sub,kind,hemi,whichEye,eCoords,eData,rfData,r2Data
bm,1,A,RH,FE,0.0161688016380902,0.739727099736532,1.22816873776416,0.148022228231033
bm,1,A,RH,FE,0.0381357241394741,1.48464738471167,1.06666476798377,0.0948773132903235
bm,1,A,RH,FE,0.0623659825444461,1.65270400762558,0.914804777950048,0.0727926493436098
bm,1,A,RH,FE,0.0884153726805634,1.76830396921404,0.647193628678759,0.0577683520293044
bm,1,A,RH,FE,0.112438254295513,1.32626933643692,0.924699653136103,0.134786559808019
bm,1,A,RH,FE,0.137622976029019,0.973133934736252,0.957801664331928,0.169795785695314
bm,1,A,RH,FE,0.163522692825743,0.934860566800291,0.8166894687509,0.283915436911312
bm,1,A,RH,FE,0.188122496244733,1.01894927702167,0.956008105115457,0.389673336832361
bm,1,A,RH,FE,0.212592134701483,1.03138883764094,0.904689527099783,0.499261722781441
bm,1,A,RH,FE,0.238140748108473,1.04751007087895,0.811987302586681,0.548912074722227
bm,1,A,RH,FE,0.263293023134308,1.05663113261645,0.746836799211227,0.476552285597875
bm,1,A,RH,FE,0.288061494399701,1.664830327034,0.882537353195642,0.535949562333132
bm,1,A,RH,FE,0.312631406053579,1.51871029496193,0.932459632058938,0.538022260963917
bm,1,A,RH,FE,0.337310091780851,1.84970462657093,1.02718690439556,0.581022390321399
bm,1,A,RH,FE,0.362421576947755,2.19624428117976,1.14387208924574,0.66497817810844
bm,1,A,RH,FE,0.388033505727806,2.48788924076978,1.20392057474922,0.631418807716931
bm,1,A,RH,FE,0.412391494985472,3.30967298463771,1.19843564613869,0.622081969521548
bm,1,A,RH,FE,0.437494697800754,3.73332989770313,1.20048158945039,0.564578301771436
bm,1,A,RH,FE,0.462630773114631,4.04627296691988,1.1172655067611,0.569699544732164
bm,1,A,RH,FE,0.487412896128395,4.75529273776781,1.10222858774831,0.537242433787989
bm,1,A,RH,FE,0.512438045716986,5.25105968048406,1.31271894925361,0.473272288434727
bm,1,A,RH,FE,0.537074966878729,6.31281839246335,1.71280278675798,0.511002065046974
bm,1,A,RH,FE,0.562471217569169,6.4327919550345,1.55028232911103,0.394858167205058
bm,1,A,RH,FE,0.58627924432136,6.13824559821457,1.20694201575501,0.313712004816434
bm,1,A,RH,FE,0.612644051561493,5.14502019260998,1.12253461247794,0.18998586608992
bm,1,A,RH,FE,0.637517021001567,3.16123415089466,0.618122057408675,0.121920438942971
bm,1,A,RH,FE,0.661817900456961,2.42992344268993,0.518460668853089,0.0941560935892471
bm,1,A,RH,FE,0.687149383997979,1.2034338532159,0.400687971128485,0.0841405031104118
bm,1,A,RH,FE,0.712461006366569,1.69278433996362,0.278220239037938,0.0602436395870014
bm,1,A,RH,FE,0.737853587006142,0.700398954153061,0.256576574407518,0.048544208308061
bm,1,A,RH,FE,0.762562872344705,0.64759203683781,0.177211845511154,0.0274198623251562
bm,1,A,RH,FE,0.787065669049653,1.10597907916292,0.0833815708998349,0.0116782394274102
bm,1,A,RH,FE,0.812094131531839,0.0010321407746046,0.000741132463400181,0.000655819399234576
bm,1,A,RH,FE,0.837457806611769,0,0,0
bm,1,A,RH,FE,0.862685263150894,0,0,0
bm,1,A,RH,FE,0.887439733775763,0,0,0
bm,1,A,RH,FE,0.912367953109455,0,0,0
bm,1,A,RH,FE,0.93781391920376,0,0,0
bm,1,A,RH,FE,0.961547463088282,0,0,0
bm,1,A,RH,FE,0.985546342362383,0,0,0
bm,1,A,RH,FE,1,0,0,0
jh,2,A,RH,FE,0.0161688016380902,0.400261829296748,0.470982591311137,0.456577648719152
jh,2,A,RH,FE,0.0381357241394741,0.465494545442717,0.323281130886504,0.303953489022596
jh,2,A,RH,FE,0.0623659825444461,0.911181436181068,0.24658523067832,0.189345528185368
jh,2,A,RH,FE,0.0884153726805634,0.444361678054256,0.352910848815114,0.301692984998226
jh,2,A,RH,FE,0.112438254295513,0.537674806619945,0.237105232173283,0.404242302830282
jh,2,A,RH,FE,0.137622976029019,0.760900986790657,0.300645933076739,0.491395239382982
